"ε/E = 1.00e+002"
0.000001 3.141592e+000 4.000000e+014
0.012001 3.129461e+000 2.777315e+006
0.024001 3.117330e+000 6.943866e+005
0.036001 3.105199e+000 3.086248e+005
0.048001 3.093067e+000 1.736039e+005
0.060001 3.080935e+000 1.111074e+005
0.072001 3.068801e+000 7.715835e+004
0.084001 3.056667e+000 5.668799e+004
0.096001 3.044531e+000 4.340187e+004
0.108001 3.032394e+000 3.429292e+004
0.120001 3.020256e+000 2.777731e+004
0.132001 3.008116e+000 2.295649e+004
0.144001 2.995973e+000 1.928986e+004
0.156001 2.983829e+000 1.643634e+004
0.168001 2.971682e+000 1.417217e+004
0.180001 2.959533e+000 1.234554e+004
0.192001 2.947382e+000 1.085058e+004
0.204001 2.935227e+000 9.611594e+003
0.216001 2.923070e+000 8.573309e+003
0.228001 2.910909e+000 7.694608e+003
0.240001 2.898745e+000 6.944387e+003
0.252001 2.886578e+000 6.298766e+003
0.264001 2.874407e+000 5.739167e+003
0.276001 2.862232e+000 5.250960e+003
0.288001 2.850053e+000 4.822497e+003
0.300001 2.837870e+000 4.444415e+003
0.312001 2.825682e+000 4.109112e+003
0.324001 2.813490e+000 3.810371e+003
0.336001 2.801293e+000 3.543063e+003
0.348001 2.789091e+000 3.302927e+003
0.360001 2.776884e+000 3.086403e+003
0.372001 2.764671e+000 2.890492e+003
0.384001 2.752453e+000 2.712659e+003
0.396001 2.740230e+000 2.550747e+003
0.408001 2.728000e+000 2.402910e+003
0.420001 2.715765e+000 2.267563e+003
0.432001 2.703523e+000 2.143337e+003
0.444001 2.691275e+000 2.029047e+003
0.456001 2.679020e+000 1.923660e+003
0.468001 2.666758e+000 1.826276e+003
0.480001 2.654490e+000 1.736104e+003
0.492001 2.642214e+000 1.652449e+003
0.504001 2.629931e+000 1.574698e+003
0.516001 2.617640e+000 1.502308e+003
0.528001 2.605341e+000 1.434797e+003
0.540001 2.593035e+000 1.371737e+003
0.552001 2.580720e+000 1.312745e+003
0.564001 2.568397e+000 1.257478e+003
0.576001 2.556066e+000 1.205629e+003
0.588001 2.543726e+000 1.156921e+003
0.600001 2.531377e+000 1.111107e+003
0.612001 2.519018e+000 1.067962e+003
0.624001 2.506651e+000 1.027281e+003
0.636001 2.494274e+000 9.888818e+002
0.648001 2.481887e+000 9.525957e+002
0.660001 2.469490e+000 9.182709e+002
0.672001 2.457083e+000 8.857683e+002
0.684001 2.444666e+000 8.549614e+002
0.696001 2.432238e+000 8.257342e+002
0.708001 2.419799e+000 7.979804e+002
0.720001 2.407350e+000 7.716028e+002
0.732001 2.394889e+000 7.465117e+002
0.744001 2.382416e+000 7.226250e+002
0.756001 2.369933e+000 6.998666e+002
0.768001 2.357437e+000 6.781666e+002
0.780001 2.344929e+000 6.574605e+002
0.792001 2.332409e+000 6.376884e+002
0.804001 2.319877e+000 6.187950e+002
0.816001 2.307331e+000 6.007290e+002
0.828001 2.294773e+000 5.834428e+002
0.840001 2.282202e+000 5.668921e+002
0.852001 2.269617e+000 5.510358e+002
0.864001 2.257018e+000 5.358355e+002
0.876001 2.244406e+000 5.212557e+002
0.888001 2.231780e+000 5.072629e+002
0.900001 2.219139e+000 4.938261e+002
0.912001 2.206484e+000 4.809162e+002
0.924001 2.193814e+000 4.685059e+002
0.936001 2.181129e+000 4.565700e+002
0.948001 2.168428e+000 4.450844e+002
0.960001 2.155712e+000 4.340269e+002
0.972001 2.142981e+000 4.233763e+002
0.984001 2.130233e+000 4.131130e+002
0.996001 2.117469e+000 4.032185e+002
1.008001 2.104689e+000 3.936752e+002
1.020001 2.091891e+000 3.844668e+002
1.032001 2.079077e+000 3.755777e+002
1.044001 2.066245e+000 3.669933e+002
1.056001 2.053396e+000 3.587000e+002
1.068001 2.040529e+000 3.506846e+002
1.080001 2.027644e+000 3.429349e+002
1.092001 2.014740e+000 3.354393e+002
1.104001 2.001818e+000 3.281868e+002
1.116001 1.988877e+000 3.211669e+002
1.128001 1.975917e+000 3.143699e+002
1.140001 1.962937e+000 3.077865e+002
1.152001 1.949937e+000 3.014077e+002
1.164001 1.936918e+000 2.952251e+002
1.176001 1.923878e+000 2.892308e+002
1.188001 1.910817e+000 2.834173e+002
1.200001 1.897736e+000 2.777773e+002
1.212001 1.884633e+000 2.723040e+002
1.224001 1.871509e+000 2.669909e+002
1.236001 1.858362e+000 2.618318e+002
1.248001 1.845194e+000 2.568208e+002
1.260001 1.832003e+000 2.519522e+002
1.272001 1.818790e+000 2.472208e+002
1.284001 1.805553e+000 2.426215e+002
1.296001 1.792293e+000 2.381493e+002
1.308001 1.779009e+000 2.337996e+002
1.320001 1.765701e+000 2.295681e+002
1.332001 1.752369e+000 2.254503e+002
1.344001 1.739012e+000 2.214424e+002
1.356001 1.725630e+000 2.175404e+002
1.368001 1.712222e+000 2.137407e+002
1.380001 1.698789e+000 2.100396e+002
1.392001 1.685329e+000 2.064338e+002
1.404001 1.671843e+000 2.029201e+002
1.416001 1.658330e+000 1.994954e+002
1.428001 1.644790e+000 1.961566e+002
1.440001 1.631222e+000 1.929010e+002
1.452001 1.617626e+000 1.897257e+002
1.464001 1.604001e+000 1.866282e+002
1.476001 1.590348e+000 1.836059e+002
1.488001 1.576666e+000 1.806565e+002
1.500001 1.562954e+000 1.777775e+002
1.512001 1.549212e+000 1.749669e+002
1.524001 1.535440e+000 1.722223e+002
1.536001 1.521637e+000 1.695419e+002
1.548001 1.507802e+000 1.669235e+002
1.560001 1.493936e+000 1.643653e+002
1.572001 1.480038e+000 1.618655e+002
1.584001 1.466107e+000 1.594223e+002
1.596001 1.452144e+000 1.570340e+002
1.608001 1.438147e+000 1.546989e+002
1.620001 1.424116e+000 1.524156e+002
1.632001 1.410050e+000 1.501824e+002
1.644001 1.395950e+000 1.479980e+002
1.656001 1.381814e+000 1.458609e+002
1.668001 1.367643e+000 1.437697e+002
1.680001 1.353435e+000 1.417232e+002
1.692001 1.339190e+000 1.397201e+002
1.704001 1.324908e+000 1.377591e+002
1.716001 1.310589e+000 1.358391e+002
1.728001 1.296230e+000 1.339590e+002
1.740001 1.281833e+000 1.321177e+002
1.752001 1.267397e+000 1.303141e+002
1.764001 1.252920e+000 1.285471e+002
1.776001 1.238403e+000 1.268159e+002
1.788001 1.223845e+000 1.251193e+002
1.800001 1.209245e+000 1.234567e+002
1.812001 1.194602e+000 1.218269e+002
1.824001 1.179917e+000 1.202292e+002
1.836001 1.165188e+000 1.186627e+002
1.848001 1.150415e+000 1.171266e+002
1.860001 1.135598e+000 1.156202e+002
1.872001 1.120734e+000 1.141426e+002
1.884001 1.105825e+000 1.126932e+002
1.896001 1.090869e+000 1.112712e+002
1.908001 1.075866e+000 1.098760e+002
1.920001 1.060814e+000 1.085068e+002
1.932001 1.045713e+000 1.071631e+002
1.944001 1.030563e+000 1.058442e+002
1.956001 1.015363e+000 1.045495e+002
1.968001 1.000112e+000 1.032784e+002
1.980001 9.848089e-001 1.020303e+002
1.992001 9.694533e-001 1.008047e+002
2.004001 9.540444e-001 9.960110e+001
2.016001 9.385814e-001 9.841890e+001
2.028001 9.230634e-001 9.725763e+001
2.040001 9.074897e-001 9.611678e+001
2.052001 8.918593e-001 9.499590e+001
2.064001 8.761714e-001 9.389451e+001
2.076001 8.604252e-001 9.281216e+001
2.088001 8.446197e-001 9.174842e+001
2.100001 8.287540e-001 9.070286e+001
2.112001 8.128272e-001 8.967508e+001
2.124001 7.968383e-001 8.866466e+001
2.136001 7.807864e-001 8.767123e+001
2.148001 7.646704e-001 8.669440e+001
2.160001 7.484893e-001 8.573380e+001
2.172001 7.322421e-001 8.478909e+001
2.184001 7.159277e-001 8.385990e+001
2.196001 6.995451e-001 8.294590e+001
2.208001 6.830931e-001 8.204676e+001
2.220001 6.665706e-001 8.116217e+001
2.232001 6.499764e-001 8.029181e+001
2.244001 6.333093e-001 7.943537e+001
2.256001 6.165682e-001 7.859256e+001
2.268001 5.997518e-001 7.776309e+001
2.280001 5.828588e-001 7.694669e+001
2.292001 5.658879e-001 7.614307e+001
2.304001 5.488379e-001 7.535198e+001
2.316001 5.317072e-001 7.457315e+001
2.328001 5.144946e-001 7.380634e+001
2.340001 4.971985e-001 7.305129e+001
2.352001 4.798176e-001 7.230777e+001
2.364001 4.623504e-001 7.157555e+001
2.376001 4.447952e-001 7.085439e+001
2.388001 4.271506e-001 7.014407e+001
2.400001 4.094148e-001 6.944439e+001
2.412001 3.915863e-001 6.875512e+001
2.424001 3.736634e-001 6.807606e+001
2.436001 3.556442e-001 6.740701e+001
2.448001 3.375270e-001 6.674778e+001
2.460001 3.193100e-001 6.609817e+001
2.472001 3.009912e-001 6.545800e+001
2.484001 2.825688e-001 6.482708e+001
2.496001 2.640407e-001 6.420524e+001
2.508001 2.454048e-001 6.359231e+001
2.520001 2.266591e-001 6.298811e+001
2.532001 2.078014e-001 6.239248e+001
2.544001 1.888294e-001 6.180526e+001
2.556001 1.697408e-001 6.122629e+001
2.568001 1.505333e-001 6.065542e+001
2.580001 1.312045e-001 6.009250e+001
2.592001 1.117518e-001 5.953737e+001
2.604001 9.217259e-002 5.898991e+001
2.616001 7.246426e-002 5.844995e+001
2.628001 5.262404e-002 5.791738e+001
2.640001 3.264910e-002 5.739206e+001
2.652001 1.253649e-002 5.687385e+001
2.664001 -7.716799e-003 5.636263e+001
2.676001 -2.811390e-002 5.585827e+001
2.688001 -4.865803e-002 5.536064e+001
2.700001 -6.935254e-002 5.486964e+001
2.712001 -9.020087e-002 5.438515e+001
2.724001 -1.112066e-001 5.390704e+001
2.736001 -1.323734e-001 5.343521e+001
2.748001 -1.537051e-001 5.296954e+001
2.760001 -1.752056e-001 5.250994e+001
2.772001 -1.968791e-001 5.205629e+001
2.784001 -2.187298e-001 5.160850e+001
2.796001 -2.407621e-001 5.116646e+001
2.808001 -2.629806e-001 5.073007e+001
2.820001 -2.853900e-001 5.029925e+001
2.832001 -3.079952e-001 4.987388e+001
2.844001 -3.308015e-001 4.945389e+001
2.856001 -3.538140e-001 4.903919e+001
2.868001 -3.770384e-001 4.862968e+001
2.880001 -4.004804e-001 4.822528e+001
2.892001 -4.241460e-001 4.782590e+001
2.904001 -4.480414e-001 4.743146e+001
2.916001 -4.721732e-001 4.704188e+001
2.928001 -4.965483e-001 4.665708e+001
2.940001 -5.211736e-001 4.627698e+001
2.952001 -5.460567e-001 4.590151e+001
2.964001 -5.712052e-001 4.553059e+001
2.976001 -5.966273e-001 4.516415e+001
2.988001 -6.223315e-001 4.480211e+001
3.000001 -6.483267e-001 4.444441e+001
3.012001 -6.746222e-001 4.409098e+001
3.024001 -7.012279e-001 4.374175e+001
3.036001 -7.281539e-001 4.339665e+001
3.048001 -7.554112e-001 4.305561e+001
3.060001 -7.830110e-001 4.271858e+001
3.072001 -8.109654e-001 4.238550e+001
3.084001 -8.392869e-001 4.205629e+001
3.096001 -8.679890e-001 4.173091e+001
3.108001 -8.970856e-001 4.140928e+001
3.120001 -9.265915e-001 4.109136e+001
3.132001 -9.565227e-001 4.077709e+001
3.144001 -9.868956e-001 4.046641e+001
3.156001 -1.017728e+000 4.015926e+001
3.168001 -1.049039e+000 3.985560e+001
3.180001 -1.080847e+000 3.955537e+001
3.192001 -1.113176e+000 3.925852e+001
3.204001 -1.146046e+000 3.896500e+001
3.216001 -1.179483e+000 3.867476e+001
3.228001 -1.213512e+000 3.838775e+001
3.240001 -1.248161e+000 3.810392e+001
3.252001 -1.283460e+000 3.782323e+001
3.264001 -1.319440e+000 3.754563e+001
3.276001 -1.356137e+000 3.727108e+001
3.288001 -1.393587e+000 3.699952e+001
3.300001 -1.431830e+000 3.673092e+001
3.312001 -1.470911e+000 3.646524e+001
3.324001 -1.510875e+000 3.620243e+001
3.336001 -1.551776e+000 3.594245e+001
3.348001 -1.593669e+000 3.568526e+001
3.360001 -1.636615e+000 3.543082e+001
3.372001 -1.680681e+000 3.517909e+001
3.384001 -1.725943e+000 3.493004e+001
3.396001 -1.772482e+000 3.468362e+001
3.408001 -1.820389e+000 3.443980e+001
3.420001 -1.869765e+000 3.419854e+001
3.432001 -1.920723e+000 3.395980e+001
3.444001 -1.973389e+000 3.372356e+001
3.456001 -2.027907e+000 3.348978e+001
3.468001 -2.084437e+000 3.325842e+001
3.480001 -2.143163e+000 3.302944e+001
3.492001 -2.204298e+000 3.280283e+001
3.504001 -2.268082e+000 3.257853e+001
3.516001 -2.334801e+000 3.235654e+001
3.528001 -2.404783e+000 3.213680e+001
3.540001 -2.478420e+000 3.191929e+001
3.552001 -2.556178e+000 3.170398e+001
3.564001 -2.638622e+000 3.149085e+001
3.576001 -2.726438e+000 3.127985e+001
3.588001 -2.820483e+000 3.107097e+001
3.600001 -2.921834e+000 3.086418e+001
3.612001 -3.031879e+000 3.065944e+001
3.624001 -3.152450e+000 3.045674e+001
3.636001 -3.286030e+000 3.025603e+001
3.648001 -3.436112e+000 3.005731e+001
3.660001 -3.607826e+000 2.986053e+001
3.672001 -3.809173e+000 2.966569e+001
3.684001 -4.053658e+000 2.947274e+001
3.696001 -4.366925e+000 2.928167e+001
3.708001 -4.807871e+000 2.909245e+001
3.720001 -5.574925e+000 2.890506e+001
3.732001 -3.028568e+000 2.871947e+001
3.744001 -1.835292e+000 2.853567e+001
3.756001 -1.521333e+000 2.835363e+001
3.768001 -1.335622e+000 2.817332e+001
3.780001 -1.204522e+000 2.799472e+001
3.792001 -1.103806e+000 2.781782e+001
3.804001 -1.022452e+000 2.764259e+001
3.816001 -9.545092e-001 2.746901e+001
3.828001 -8.963976e-001 2.729706e+001
3.840001 -8.457977e-001 2.712672e+001
3.852001 -8.011200e-001 2.695797e+001
3.864001 -7.612281e-001 2.679079e+001
3.876001 -7.252817e-001 2.662516e+001
3.888001 -6.926419e-001 2.646106e+001
3.900001 -6.628117e-001 2.629847e+001
3.912001 -6.353972e-001 2.613738e+001
3.924001 -6.100805e-001 2.597776e+001
3.936001 -5.866021e-001 2.581960e+001
3.948001 -5.647466e-001 2.566289e+001
3.960001 -5.443341e-001 2.550759e+001
3.972001 -5.252122e-001 2.535370e+001
3.984001 -5.072509e-001 2.520119e+001
3.996001 -4.903388e-001 2.505006e+001
4.008001 -4.743791e-001 2.490029e+001
4.020001 -4.592875e-001 2.475185e+001
4.032001 -4.449902e-001 2.460474e+001
4.044001 -4.314221e-001 2.445893e+001
4.056001 -4.185257e-001 2.431442e+001
4.068001 -4.062495e-001 2.417118e+001
4.080001 -3.945479e-001 2.402921e+001
4.092001 -3.833796e-001 2.388848e+001
4.104001 -3.727076e-001 2.374899e+001
4.116001 -3.624986e-001 2.361071e+001
4.128001 -3.527221e-001 2.347364e+001
4.140001 -3.433507e-001 2.333776e+001
4.152001 -3.343592e-001 2.320305e+001
4.164001 -3.257247e-001 2.306951e+001
4.176001 -3.174261e-001 2.293712e+001
4.188001 -3.094440e-001 2.280586e+001
4.200001 -3.017608e-001 2.267573e+001
4.212001 -2.943600e-001 2.254670e+001
4.224001 -2.872263e-001 2.241878e+001
4.236001 -2.803459e-001 2.229194e+001
4.248001 -2.737055e-001 2.216618e+001
4.260001 -2.672932e-001 2.204147e+001
4.272001 -2.610976e-001 2.191782e+001
4.284001 -2.551083e-001 2.179520e+001
4.296001 -2.493154e-001 2.167361e+001
4.308001 -2.437097e-001 2.155303e+001
4.320001 -2.382826e-001 2.143346e+001
4.332001 -2.330261e-001 2.131488e+001
4.344001 -2.279326e-001 2.119728e+001
4.356001 -2.229950e-001 2.108065e+001
4.368001 -2.182066e-001 2.096498e+001
4.380001 -2.135612e-001 2.085026e+001
4.392001 -2.090527e-001 2.073648e+001
4.404001 -2.046755e-001 2.062363e+001
4.416001 -2.004244e-001 2.051170e+001
4.428001 -1.962944e-001 2.040068e+001
4.440001 -1.922806e-001 2.029055e+001
4.452001 -1.883787e-001 2.018132e+001
4.464001 -1.845843e-001 2.007296e+001
4.476001 -1.808933e-001 1.996547e+001
4.488001 -1.773021e-001 1.985885e+001
4.500001 -1.738068e-001 1.975308e+001
4.512001 -1.704040e-001 1.964815e+001
4.524001 -1.670905e-001 1.954405e+001
4.536001 -1.638630e-001 1.944078e+001
4.548001 -1.607185e-001 1.933833e+001
4.560001 -1.576542e-001 1.923668e+001
4.572001 -1.546674e-001 1.913583e+001
4.584001 -1.517554e-001 1.903578e+001
4.596001 -1.489158e-001 1.893650e+001
4.608001 -1.461461e-001 1.883800e+001
4.620001 -1.434441e-001 1.874027e+001
4.632001 -1.408075e-001 1.864330e+001
4.644001 -1.382343e-001 1.854707e+001
4.656001 -1.357226e-001 1.845159e+001
4.668001 -1.332702e-001 1.835685e+001
4.680001 -1.308755e-001 1.826283e+001
4.692001 -1.285366e-001 1.816953e+001
4.704001 -1.262519e-001 1.807695e+001
4.716001 -1.240196e-001 1.798507e+001
4.728001 -1.218383e-001 1.789389e+001
4.740001 -1.197064e-001 1.780341e+001
4.752001 -1.176225e-001 1.771360e+001
4.764001 -1.155852e-001 1.762448e+001
4.776001 -1.135930e-001 1.753603e+001
4.788001 -1.116449e-001 1.744824e+001
4.800001 -1.097394e-001 1.736110e+001
4.812001 -1.078754e-001 1.727462e+001
4.824001 -1.060517e-001 1.718879e+001
4.836001 -1.042673e-001 1.710359e+001
4.848001 -1.025209e-001 1.701902e+001
4.860001 -1.008117e-001 1.693508e+001
4.872001 -9.913855e-002 1.685176e+001
4.884001 -9.750053e-002 1.676905e+001
4.896001 -9.589669e-002 1.668695e+001
4.908001 -9.432613e-002 1.660545e+001
4.920001 -9.278797e-002 1.652455e+001
4.932001 -9.128137e-002 1.644424e+001
4.944001 -8.980552e-002 1.636451e+001
4.956001 -8.835961e-002 1.628535e+001
4.968001 -8.694289e-002 1.620678e+001
4.980001 -8.555461e-002 1.612877e+001
4.992001 -8.419405e-002 1.605132e+001
5.004001 -8.286053e-002 1.597442e+001
5.016001 -8.155337e-002 1.589808e+001
5.028001 -8.027192e-002 1.582229e+001
5.040001 -7.901555e-002 1.574703e+001
5.052001 -7.778363e-002 1.567231e+001
5.064001 -7.657559e-002 1.559813e+001
5.076001 -7.539084e-002 1.552446e+001
5.088001 -7.422883e-002 1.545132e+001
5.100001 -7.308901e-002 1.537869e+001
5.112001 -7.197087e-002 1.530658e+001
5.124001 -7.087388e-002 1.523497e+001
5.136001 -6.979755e-002 1.516386e+001
5.148001 -6.874140e-002 1.509325e+001
5.160001 -6.770497e-002 1.502313e+001
5.172001 -6.668780e-002 1.495350e+001
5.184001 -6.568945e-002 1.488435e+001
5.196001 -6.470949e-002 1.481568e+001
